root_node,chain_len,halstead_difficulty,halstead_effort
9jPK8KBWzjFmBx4Hb,13,"[10.833333333333332, 10.833333333333332, 10.833333333333332, 13.75, 13.2, 13.75, 13.75, 10.833333333333332, 9.9, 10.833333333333332, 10.833333333333332, 10.833333333333332, 10.833333333333332]","[842.0500391554457, 842.0500391554457, 842.0500391554457, 1179.1271254000385, 1026.0055861709432, 1179.1271254000385, 1179.1271254000385, 842.0500391554457, 651.4809449343553, 842.0500391554457, 842.0500391554457, 842.0500391554457, 842.0500391554457]"
9jPK8KBWzjFmBx4Hb,2,"[8.0, 9.0]","[476.8361000750002, 641.9098127920682]"
9jPK8KBWzjFmBx4Hb,2,"[8.0, 9.0]","[476.8361000750002, 577.7052750908657]"
9jPK8KBWzjFmBx4Hb,4,"[12.833333333333334, 12.833333333333334, 10.833333333333332, 9.9]","[1090.8333333333335, 1090.8333333333335, 842.0500391554457, 651.4809449343553]"
9jPK8KBWzjFmBx4Hb,11,"[9.0, 9.0, 10.0, 11.666666666666668, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]","[641.9098127920682, 641.9098127920682, 777.2769592204115, 933.3333333333335, 648.9929144777766, 648.9929144777766, 641.9098127920682, 648.9929144777766, 641.9098127920682, 641.9098127920682, 641.9098127920682]"
9jPK8KBWzjFmBx4Hb,2,"[10.0, 10.0]","[769.1767875292167, 769.1767875292167]"
9jPK8KBWzjFmBx4Hb,1,[8.0],[476.8361000750002]
9jPK8KBWzjFmBx4Hb,3,"[6.3, 6.3, 9.0]","[332.0591971620743, 332.0591971620743, 577.7052750908657]"
9jPK8KBWzjFmBx4Hb,1,[7.2],[417.4027995044511]
9jPK8KBWzjFmBx4Hb,57,"[8.0, 8.0, 7.0, 8.8, 10.799999999999999, 13.0, 14.3, 10.5, 11.666666666666668, 11.0, 11.0, 12.833333333333334, 8.0, 11.666666666666668, 12.833333333333334, 12.833333333333334, 11.666666666666668, 8.0, 10.0, 11.666666666666668, 17.333333333333332, 11.666666666666668, 8.0, 10.5, 11.666666666666668, 10.5, 9.0, 12.833333333333334, 9.0, 9.0, 9.0, 9.0, 12.833333333333334, 14.0, 14.0, 12.833333333333334, 14.0, 14.0, 12.833333333333334, 11.666666666666668, 12.833333333333334, 12.833333333333334, 9.0, 13.75, 18.416666666666668, 18.416666666666668, 18.416666666666668, 19.833333333333336, 10.5, 11.666666666666668, 9.0, 8.0, 11.666666666666668, 11.0, 12.0, 8.0, 8.0]","[476.8361000750002, 476.8361000750002, 379.9792043087891, 531.2571481102285, 718.9389903271162, 956.8436661436612, 1133.520115816517, 772.8352688083418, 924.7833112722168, 990.0, 990.0, 1090.8333333333335, 526.4492484318023, 924.7833112722168, 1090.8333333333335, 1090.8333333333335, 924.7833112722168, 526.4492484318023, 842.2133727657688, 924.7833112722168, 1702.6286338083348, 924.7833112722168, 526.4492484318023, 772.8352688083418, 924.7833112722168, 772.8352688083418, 641.9098127920682, 1090.8333333333335, 641.9098127920682, 641.9098127920682, 641.9098127920682, 641.9098127920682, 1090.8333333333335, 1271.1873180783302, 1271.1873180783302, 1090.8333333333335, 1271.1873180783302, 1271.1873180783302, 1090.8333333333335, 924.7833112722168, 1090.8333333333335, 1090.8333333333335, 641.9098127920682, 1198.9699052108858, 1862.23133920267, 1874.6967389492781, 1874.6967389492781, 2125.1622951651734, 780.2859188859328, 933.3333333333335, 641.9098127920682, 526.4492484318023, 924.7833112722168, 926.4347100423456, 1070.106403043565, 526.4492484318023, 526.4492484318023]"
9jPK8KBWzjFmBx4Hb,23,"[9.0, 10.799999999999999, 10.799999999999999, 9.6, 9.6, 10.799999999999999, 10.799999999999999, 9.6, 8.4, 9.6, 9.6, 9.6, 9.6, 9.6, 9.6, 8.4, 9.6, 10.5, 11.666666666666668, 10.5, 10.5, 16.0, 10.5]","[592.2554044857776, 726.8720642151096, 726.8720642151096, 593.4099602700009, 593.4099602700009, 726.8720642151096, 726.8720642151096, 593.4099602700009, 473.8043235886221, 593.4099602700009, 593.4099602700009, 593.4099602700009, 593.4099602700009, 593.4099602700009, 593.4099602700009, 473.8043235886221, 593.4099602700009, 772.8352688083418, 924.7833112722168, 780.2859188859328, 780.2859188859328, 1488.9384004153858, 780.2859188859328]"
9jPK8KBWzjFmBx4Hb,13,"[7.0, 7.0, 8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 12.833333333333334, 12.833333333333334, 12.833333333333334, 12.833333333333334, 10.0]","[379.9792043087891, 379.9792043087891, 526.4492484318023, 641.9098127920682, 634.5593619490473, 641.9098127920682, 641.9098127920682, 641.9098127920682, 1100.5186503733694, 1100.5186503733694, 1100.5186503733694, 1090.8333333333335, 769.1767875292167]"
9jPK8KBWzjFmBx4Hb,7,"[8.0, 9.0, 11.666666666666668, 11.666666666666668, 10.0, 9.0, 8.0]","[526.4492484318023, 641.9098127920682, 924.7833112722168, 924.7833112722168, 769.1767875292167, 641.9098127920682, 526.4492484318023]"
MdZs9uee25QgFwvi7,1,[8.0],[476.8361000750002]
MdZs9uee25QgFwvi7,11,"[10.799999999999999, 11.666666666666668, 11.666666666666668, 11.666666666666668, 11.666666666666668, 11.666666666666668, 11.666666666666668, 11.666666666666668, 12.833333333333334, 12.833333333333334, 12.833333333333334]","[726.8720642151096, 924.7833112722168, 924.7833112722168, 924.7833112722168, 924.7833112722168, 924.7833112722168, 924.7833112722168, 924.7833112722168, 1090.8333333333335, 1090.8333333333335, 1090.8333333333335]"
MdZs9uee25QgFwvi7,24,"[11.666666666666668, 11.666666666666668, 11.666666666666668, 12.833333333333334, 11.666666666666668, 11.666666666666668, 11.666666666666668, 11.666666666666668, 12.833333333333334, 11.666666666666668, 11.666666666666668, 12.833333333333334, 9.0, 12.833333333333334, 11.666666666666668, 12.833333333333334, 12.833333333333334, 12.833333333333334, 12.833333333333334, 12.833333333333334, 12.833333333333334, 12.833333333333334, 12.833333333333334, 12.833333333333334]","[933.3333333333335, 924.7833112722168, 933.3333333333335, 1090.8333333333335, 924.7833112722168, 924.7833112722168, 924.7833112722168, 924.7833112722168, 1090.8333333333335, 933.3333333333335, 933.3333333333335, 1100.5186503733694, 641.9098127920682, 1100.5186503733694, 933.3333333333335, 1100.5186503733694, 1109.9148098661158, 1100.5186503733694, 1100.5186503733694, 1100.5186503733694, 1100.5186503733694, 1100.5186503733694, 1100.5186503733694, 1100.5186503733694]"
MdZs9uee25QgFwvi7,5,"[12.833333333333334, 12.833333333333334, 12.833333333333334, 12.833333333333334, 12.833333333333334]","[1090.8333333333335, 1090.8333333333335, 1090.8333333333335, 1090.8333333333335, 1090.8333333333335]"
MdZs9uee25QgFwvi7,16,"[11.666666666666668, 16.0, 15.0, 15.0, 12.833333333333334, 15.0, 15.0, 14.666666666666666, 16.0, 16.0, 16.0, 16.0, 18.0, 18.0, 18.0, 16.0]","[924.7833112722168, 1500.3225693011377, 1373.6149671375917, 1373.6149671375917, 1090.8333333333335, 1373.6149671375917, 1373.6149671375917, 1278.9012322249448, 1488.9384004153858, 1488.9384004153858, 1488.9384004153858, 1488.9384004153858, 1724.3047027435055, 1724.3047027435055, 1724.3047027435055, 1488.9384004153858]"
MdZs9uee25QgFwvi7,3,"[9.0, 9.0, 9.0]","[641.9098127920682, 641.9098127920682, 641.9098127920682]"
MdZs9uee25QgFwvi7,12,"[8.0, 10.5, 10.5, 8.0, 8.0, 10.5, 10.5, 8.0, 9.0, 7.0, 10.5, 11.666666666666668]","[532.5474002423084, 780.2859188859328, 780.2859188859328, 532.5474002423084, 526.4492484318023, 780.2859188859328, 787.5, 532.5474002423084, 648.9929144777766, 379.9792043087891, 772.8352688083418, 924.7833112722168]"
MdZs9uee25QgFwvi7,1,[12.833333333333334],[1090.8333333333335]
MdZs9uee25QgFwvi7,3,"[12.833333333333334, 12.833333333333334, 12.833333333333334]","[1090.8333333333335, 1090.8333333333335, 1090.8333333333335]"
9jPK8KBWzjFmBx4Hb,1,[3.5],[114.4489595550095]
9jPK8KBWzjFmBx4Hb,1,[9.0],[641.9098127920682]
CxtWguApz2FZXvyAM,1,[7.2],[417.4027995044511]
9jPK8KBWzjFmBx4Hb,3,"[9.9, 8.0, 9.0]","[651.4809449343553, 476.8361000750002, 585.1258799116152]"
9jPK8KBWzjFmBx4Hb,3,"[10.0, 8.333333333333334, 10.0]","[696.5784284662086, 619.1808253032966, 696.5784284662086]"
9jPK8KBWzjFmBx4Hb,1,[7.2],[417.4027995044511]
9jPK8KBWzjFmBx4Hb,7,"[8.0, 8.0, 8.0, 8.0, 7.5, 9.0, 7.2]","[526.4492484318023, 526.4492484318023, 526.4492484318023, 526.4492484318023, 515.80828133113, 577.7052750908657, 417.4027995044511]"
