id,time_taken
9267,"[datetime.timedelta(seconds=7, microseconds=251430), datetime.timedelta(seconds=50, microseconds=892633), datetime.timedelta(seconds=24, microseconds=93343), datetime.timedelta(seconds=2, microseconds=736899), datetime.timedelta(seconds=971, microseconds=403617), datetime.timedelta(seconds=3, microseconds=225668), datetime.timedelta(seconds=3, microseconds=112260)]"
9481,[]
9490,[]
9486,[]
9488,[]
9491,[]
9549,"[datetime.timedelta(seconds=168, microseconds=143967), datetime.timedelta(seconds=256, microseconds=890433)]"
9551,"[datetime.timedelta(seconds=130, microseconds=971589)]"
9483,[]
9512,[]
9527,[]
9482,[]
9500,[]
9501,[]
9521,[]
9523,[]
9525,[]
9528,[]
9541,[]
9545,[]
9574,[]
9507,[]
9548,[]
9577,[]
13223,[]
13233,[]
13307,[]
10838,[]
10935,[]
10970,[]
11150,[]
11042,"[datetime.timedelta(seconds=3732, microseconds=159571), datetime.timedelta(seconds=685, microseconds=182652), datetime.timedelta(seconds=508, microseconds=430539)]"
11165,[]
11013,[]
11017,[]
11025,[]
11045,"[datetime.timedelta(seconds=3732, microseconds=159571), datetime.timedelta(seconds=685, microseconds=182652), datetime.timedelta(seconds=508, microseconds=430539), datetime.timedelta(seconds=380, microseconds=429628)]"
11154,[]
10999,[]
11007,[]
11041,"[datetime.timedelta(seconds=3732, microseconds=159571), datetime.timedelta(seconds=685, microseconds=182652), datetime.timedelta(seconds=508, microseconds=430539), datetime.timedelta(seconds=338, microseconds=334792)]"
11347,[]
11872,[]
11873,[]
12022,[]
13286,[]
13320,[]
13337,[]
11995,[]
13346,"[datetime.timedelta(seconds=18, microseconds=513281), datetime.timedelta(seconds=89, microseconds=45730)]"
13392,"[datetime.timedelta(seconds=18, microseconds=513281), datetime.timedelta(seconds=89, microseconds=45730), datetime.timedelta(seconds=5, microseconds=27903), datetime.timedelta(seconds=5, microseconds=859286), datetime.timedelta(seconds=10, microseconds=72905), datetime.timedelta(seconds=5, microseconds=503431), datetime.timedelta(seconds=3, microseconds=724214), datetime.timedelta(seconds=157, microseconds=221921), datetime.timedelta(seconds=9, microseconds=324275), datetime.timedelta(seconds=13, microseconds=149995), datetime.timedelta(seconds=110, microseconds=228976)]"
12031,[]
12033,[]
12090,[]
12119,[]
12120,[]
12124,[]
12483,[]
12446,[]
12449,[]
12509,[]
12513,[]
12580,[]
12538,"[datetime.timedelta(seconds=30, microseconds=245571), datetime.timedelta(seconds=10, microseconds=763809), datetime.timedelta(seconds=133, microseconds=852198), datetime.timedelta(seconds=16, microseconds=916177)]"
12831,[]
12800,[]
13867,[]
13865,[]
12926,[]
13405,[]
13407,[]
13411,[]
13413,[]
13417,[]
13437,[]
13440,[]
13481,[]
13510,"[datetime.timedelta(seconds=10, microseconds=86873)]"
13540,"[datetime.timedelta(seconds=32, microseconds=944248)]"
13406,[]
13412,[]
13435,[]
13472,"[datetime.timedelta(seconds=82, microseconds=10447)]"
13489,[]
13491,[]
13492,[]
13493,[]
13495,[]
12967,[]
13409,[]
13477,"[datetime.timedelta(seconds=10, microseconds=434225), datetime.timedelta(seconds=669, microseconds=108952), datetime.timedelta(seconds=5, microseconds=165051), datetime.timedelta(seconds=88, microseconds=86173), datetime.timedelta(seconds=13, microseconds=919488)]"
13079,[]
13084,[]
13426,"[datetime.timedelta(seconds=67, microseconds=331323)]"
13504,[]
13505,[]
13528,"[datetime.timedelta(seconds=33, microseconds=430791)]"
13090,[]
13856,[]
13864,[]
13866,[]
13558,[]
13568,[]
13569,[]
13571,[]
13582,[]
13637,[]
13543,[]
13605,[]
13189,[]
13196,[]
13567,[]
13570,[]
13617,[]
13626,[]
14044,[]
14022,[]
14018,[]
14007,[]
