id,parseerror_fix_steps,unsat_to_sat_steps
26240,"[3, 9]",[]
26272,[9],[]
26281,"[27, 21]",[]
26295,[],[]
27131,[],[]
26331,[],[]
26484,"[3, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 2]"
26384,[1],[]
26421,[],[]
26699,[],[]
26409,[],[]
26434,[],[]
27398,[1],[1]
26485,"[27, 57]","[1, 1, 1, 1]"
27067,[19],"[21, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
27500,[],[]
26579,"[1, 13]","[1, 1]"
26580,"[1, 13]","[1, 1]"
26701,[],[]
26715,"[1, 13, 1]","[1, 1]"
26747,"[1, 4, 2, 3, 19, 1, 3, 17, 5, 3, 1]","[1, 1, 4, 1, 1, 1, 2]"
26811,[],[1]
27000,"[1, 1, 1, 2]",[]
26853,[],[]
26899,"[1, 1]","[25, 1, 1, 1, 1, 1, 2]"
27033,"[4, 1, 8]","[2, 1, 1, 1, 3, 1, 1, 1]"
26948,[],[]
26957,[],[]
26961,[10],[]
26977,[17],[]
26987,[],[]
27002,"[31, 1, 1]",[]
27008,[],[]
27027,[1],[]
27208,[1],"[1, 1, 1, 1, 2]"
27045,"[1, 1]","[1, 2, 1, 2]"
27360,[2],"[1, 1, 1]"
27086,[],[]
27636,[],[]
27169,[1],[]
27326,[],"[1, 1, 1, 1]"
27223,[4],[]
27275,[],[]
27302,"[4, 1]",[]
27323,[1],[]
27322,"[2, 1, 1, 1]","[2, 1]"
27329,[1],[]
27389,[],"[1, 1]"
27414,"[21, 3, 16, 3, 5, 1]","[30, 25, 5, 1]"
27381,[],[]
27395,[],[]
27399,"[10, 8]",[]
27464,[],[1]
27484,"[1, 1, 2]","[3, 1, 1, 1, 1, 3]"
27506,"[1, 13, 1, 1]","[1, 1]"
27510,"[2, 9]",[]
27526,[],[]
27547,[],[]
27552,"[1, 5, 1, 12, 2, 1, 1]","[24, 8, 4, 1]"
27583,[],"[1, 1, 1, 1]"
27587,[],[]
27597,[3],[]
27603,[],"[1, 1]"
27638,[],[]
27634,[],[]
27697,"[2, 1, 2, 1, 1, 2, 3, 3, 1]",[]
27730,"[5, 1, 2]","[1, 1, 1, 1, 1, 1]"
27755,"[1, 1]",[]
27768,[10],[1]
27774,[],[1]
27776,[],[]
27804,[4],[]
27811,[],[]
27824,"[1, 1]",[1]
27830,[],[]
27864,"[1, 1, 2, 1]",[]
27888,[],[]
27845,[1],[1]
27846,[],[]
28582,[],[]
27949,[],[]
27961,[],[]
27963,[1],[]
28007,[1],[]
27979,[1],[]
28002,[],[]
28008,[],[]
28068,"[4, 1]",[]
28099,"[2, 4, 1]",[1]
28086,[1],[]
28202,"[6, 8, 1, 2, 1, 2, 3, 2]","[3, 1, 1]"
28215,"[3, 1, 1, 1, 2]",[]
28209,[],[]
28214,[],[]
28221,[1],[]
28229,"[1, 3, 3]",[]
28239,[2],[]
28246,[],"[1, 1]"
28274,"[1, 9]","[4, 1, 1]"
28284,[],[]
28285,[1],[]
28286,"[1, 3, 1]",[]
28316,"[1, 1, 2, 1]",[]
28320,[],[]
28325,[1],[]
28331,[],[1]
28399,"[1, 1, 2, 1, 2, 1, 1, 3, 2, 1]",[1]
28406,"[1, 1, 2, 1]",[]
28413,[2],[]
29750,"[1, 1, 1]",[]
28460,[],[]
28518,"[2, 4, 1, 18, 5]","[1, 1, 19, 1, 1, 1]"
28532,[1],[]
28581,"[1, 2, 1, 1, 3, 2, 1, 3, 1, 4]",[]
28670,"[1, 2, 7]","[18, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
28701,[],[]
28704,[1],[]
28731,"[2, 2]","[1, 1, 1, 1, 1]"
28761,"[2, 1, 1, 2]",[]
28810,[3],[1]
28817,"[1, 7, 6]","[1, 8]"
28824,[1],[]
28830,[],[1]
28831,[],[]
28832,[],[]
28846,[12],[]
28847,[],[]
28872,[],[]
28887,[],[]
29058,[],[]
29060,[],[]
29067,[],[]
29070,[],[]
29101,"[2, 2]",[]
29148,[],[]
29158,[],[]
29255,[],[1]
29296,"[2, 2, 1, 1]",[]
29327,"[2, 1]","[1, 1]"
29332,[],[]
29341,"[1, 4, 1]",[]
29518,"[1, 2]",[]
29525,[],[]
29606,[1],[1]
29706,"[1, 1]",[1]
29712,"[1, 5, 6, 2]",[]
29729,"[3, 1, 1, 1, 8]","[1, 1, 2, 1]"
29744,[],[]
29821,[],"[1, 1]"
29892,[3],[]
29951,"[3, 3, 1]",[]
29966,[],[]
30032,[],"[1, 1]"
30087,"[1, 1, 1]","[1, 1, 1, 1]"
30110,[1],[1]
30114,[1],[]
30115,[],[]
30186,"[3, 1]",[]
30553,[],[]
30326,"[1, 1, 1, 2, 1, 17]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
30338,"[7, 1]","[1, 1]"
30347,[],[]
30510,"[1, 8]",[2]
30531,[1],[]
30528,[13],[]
30529,[],[]
30539,[],[]
