id,time_taken
9119,"[datetime.timedelta(seconds=4, microseconds=675028), datetime.timedelta(seconds=30, microseconds=92938)]"
9017,"[datetime.timedelta(seconds=377, microseconds=987153), datetime.timedelta(seconds=19, microseconds=16994), datetime.timedelta(seconds=266, microseconds=583031), datetime.timedelta(seconds=11, microseconds=335203), datetime.timedelta(seconds=1507, microseconds=545175), datetime.timedelta(seconds=8, microseconds=471598), datetime.timedelta(seconds=1068, microseconds=593912), datetime.timedelta(seconds=16, microseconds=743648), datetime.timedelta(seconds=98, microseconds=705712), datetime.timedelta(seconds=101, microseconds=379428), datetime.timedelta(seconds=27, microseconds=65428), datetime.timedelta(seconds=1411, microseconds=477666), datetime.timedelta(seconds=20, microseconds=603730), datetime.timedelta(seconds=21, microseconds=412502), datetime.timedelta(seconds=123, microseconds=883711), datetime.timedelta(seconds=12, microseconds=838528), datetime.timedelta(seconds=19, microseconds=781563), datetime.timedelta(seconds=108, microseconds=154067), datetime.timedelta(seconds=8, microseconds=944801), datetime.timedelta(seconds=29, microseconds=972477), datetime.timedelta(seconds=22, microseconds=421477), datetime.timedelta(seconds=30, microseconds=783445), datetime.timedelta(seconds=63, microseconds=894654), datetime.timedelta(seconds=10, microseconds=198934), datetime.timedelta(seconds=377, microseconds=955131), datetime.timedelta(seconds=17, microseconds=474872), datetime.timedelta(seconds=117, microseconds=858439), datetime.timedelta(seconds=100, microseconds=24077)]"
9026,[]
9028,[]
9252,"[datetime.timedelta(seconds=23, microseconds=594182)]"
9452,"[datetime.timedelta(seconds=180, microseconds=589177)]"
9024,[]
9058,"[datetime.timedelta(seconds=7, microseconds=740237), datetime.timedelta(seconds=4, microseconds=278008), datetime.timedelta(seconds=7, microseconds=29660), datetime.timedelta(seconds=12, microseconds=538889), datetime.timedelta(seconds=7, microseconds=505191)]"
9094,[]
9221,"[datetime.timedelta(seconds=5, microseconds=363184)]"
9018,"[datetime.timedelta(seconds=49, microseconds=911938)]"
9019,"[datetime.timedelta(seconds=49, microseconds=911938)]"
9020,"[datetime.timedelta(seconds=49, microseconds=911938), datetime.timedelta(seconds=113, microseconds=487926)]"
9054,[]
9079,[]
9095,[]
9111,"[datetime.timedelta(seconds=6, microseconds=871393)]"
9223,[]
9441,"[datetime.timedelta(seconds=11, microseconds=201017)]"
9244,[]
9254,"[datetime.timedelta(seconds=15111, microseconds=963393)]"
