spec,parseable,eloc,comments,halstead,operators,operands,halstead_difficulty,halstead_effort
.\data\code\AlloyExamples\book\chapter6\hotel1.als,True,82,3,"[32, 46, 190, 303]","[but, no, some, fact, lone, for, sig, pred, and, assert, let, [, all, ++, =>, set, or, in, &, module, one, +, check, -, ., ->, as, =, open, <:, >, fun]","[next, rs, ordering, keys, noGuestChangeExcept, chapter6, Time, FrontDesk, none, occ, min, checkin, DisjointKeySets, noFrontDeskChange, NoBadEntry, lastKey, Room, nexts, checkout, init, ko, Guest, g, ks, ck, traces, k, Time-last, gs, o, currentKey, entry, r, 2, 3, util, t, 5, hotel1, noRoomChangeExcept, to, nextKey, occupant, Key, first, lk]",105.3913043478261,73536.21552311498
.\data\code\AlloyExamples\book\chapter6\hotel2.als,True,89,4,"[32, 49, 209, 347]","[but, no, some, fact, lone, for, sig, pred, and, assert, let, [, all, ++, =>, set, or, in, &, module, one, +, check, -, ., ->, as, =, open, <:, >, fun]","[chapter6, none, occ, checkin, NoBadEntry, init, Guest, traces, NoIntervening, Time-last, currentKey, entry, 2, 3, hotel2, util, 5, 7, 9, Key, next, rs, ordering, keys, noGuestChangeExcept, Time, FrontDesk, min, DisjointKeySets, noFrontDeskChange, lastKey, Room, nexts, checkout, ko, g, ks, ck, k, gs, o, r, t, noRoomChangeExcept, to, nextKey, occupant, first, lk]",113.3061224489796,83691.78015707416
.\data\code\AlloyExamples\book\chapter6\hotel3.als,True,75,2,"[34, 46, 176, 219]","[but, no, some, fact, lone, for, sig, pred, and, assert, let, [, all, ++, !, =>, set, or, in, &, module, one, abstract, +, check, -, ., ->, as, extends, =, open, <:, fun]","[next, RoomKeyEvent, ordering, keys, chapter6, Time, FrontDesk, occ, Entry, min, Checkout, post, NoBadEntry, lastKey, Room, nexts, key, init, pre, ko, Traces, e, Guest, ks, ck, k, Time-last, room, o, currentKey, r, 3, util, t, 4, hotel3, 5, Event, guest, Checkin, to, nextKey, occupant, Key, first, lk]",80.93478260869566,55849.5896047461
.\data\code\AlloyExamples\book\chapter6\hotel4.als,True,84,3,"[34, 50, 191, 239]","[but, no, some, fact, lone, for, sig, pred, and, assert, let, [, all, ++, !, =>, set, or, in, &, module, one, abstract, +, check, -, ., ->, as, extends, =, open, <:, fun]","[chapter6, occ, Checkout, post, NoBadEntry, init, pre, last, Traces, Guest, NoIntervening, Time-last, currentKey, 3, util, 5, 8, 9, guest, Key, next, RoomKeyEvent, ordering, keys, hotel4, Time, FrontDesk, Entry, min, lastKey, Room, nexts, key, c, ko, e, ks, ck, k, room, o, r, t, Event, Checkin, to, nextKey, occupant, first, lk]",81.26,59713.764680441716
.\data\code\AlloyExamples\book\chapter6\mediaAssets.als,True,93,4,"[23, 32, 178, 293]","[all, ++, some, !, =>, set, or, in, module, one, +, check, -, ., sig, ->, disj, pred, and, assert, let, [, =]","[cut, hidden, showSelected, chapter6, paste, assets, PasteNotAffectHidden, catalogState, Asset, buffer, sel, CatalogState, Undefined, c, mediaAssets, HidePreservesInv, PasteCut, ApplicationState, catalogInv, sameApplicationState, Catalog, cs, buf, selection, appInv, hideSelected, catalogs, currentCatalog, xs, showing, sameCatalogState, CutPaste]",105.296875,51424.58021176141
.\data\code\AlloyExamples\book\chapter6\memory\abstractMemory.als,True,24,3,"[19, 18, 43, 91]","[++, all, no, some, =>, fact, module, lone, check, ., sig, ->, disj, pred, and, let, [, implies, =]","[init, a, memory, read, data, d, Memory, Canonicalize, chapter6, Data, WriteRead, m, d1, Addr, d2, abstractMemory, write, WriteIdempotent]",48.02777777777778,12556.636771698752
.\data\code\AlloyExamples\book\chapter6\memory\cacheMemory.als,True,35,2,"[20, 23, 67, 123]","[++, all, no, some, =>, set, module, lone, +, check, -, ., sig, ->, pred, else, [, implies, =, <:]","[init, a, cache, memory, c, read, d, LoadNotObservable, CacheSystem, addrs, chapter6, Data, main, d1, Addr, d2, d3, cacheMemory, a1, a2, load, flush, write]",53.47826086956522,17407.37665759234
.\data\code\AlloyExamples\book\chapter6\memory\checkCache.als,True,23,5,"[12, 26, 56, 118]","[++, all, =>, as, and, module, [, check, =, open, fun, .]","[memory, data, Memory, CacheSystem, chapter6, main, Addr, cacheMemory, abstractMemory, load, flush, alpha, LoadOK, checkCache, amemory, write, WriteOK, a, cache, c, read, d, FlushOK, Data, m, ReadOK]",27.23076923076923,7701.728915858236
.\data\code\AlloyExamples\book\chapter6\memory\checkFixedSize.als,True,19,4,"[14, 24, 39, 102]","[all, =>, module, check, -, ., ->, as, pred, and, [, implies, =, open]","[initOk, init, a, memory, read, data, d, Memory, fm, chapter6, Data, unwritten, Memory_H, am, fixedSizeMemory_H, Addr, writeOk, abstractMemory, checkFixedSize, alpha, readOk, fmemory, amemory, write]",29.75,8071.262803886837
.\data\code\AlloyExamples\book\chapter6\memory\fixedSizeMemory.als,True,15,1,"[12, 14, 23, 45]","[sig, ++, ->, no, fact, disj, pred, module, one, [, =, .]","[init, a, memory, read, data, d, Memory, Canonicalize, chapter6, Data, m, Addr, write, fixedSizeMemory]",19.285714285714285,3052.42779611267
