id,parseerror_distances,not_parseerror_distances
25431,"[74, 53, 0, 0, 0, 59, 168, 63, 22, 0, 53, 0, 41, 31, 0, 0, 21, 188, 2, 2, 0, 6, 0, 7, 14, 135, 0, 130, 10, 96, 231, 138, 137, 9, 35, 37, 12, 362, 7, 351, 222]","[0, 1962, 87, 0, 143, 0, 405, 776, 0, 0, 128, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
27813,[],[]
25462,"[22, 10, 3, 5, 30, 21, 0, 24, 21, 24, 7, 7, 7, 8, 34, 8, 87, 101, 159, 67, 3, 19, 33, 38, 30, 28, 35, 29, 182, 13, 126, 125, 27, 19, 205, 19]","[2234, 45, 570, 4, 21, 0, 18, 0, 36, 147, 167, 0, 0, 3, 3, 0, 30, 42, 0, 0, 0, 42, 30, 33, 0, 36, 33, 33, 33, 33, 54, 0, 69, 75, 63, 45, 36, 18, 18, 36, 37, 36, 36, 36, 75, 72, 0]"
25499,"[1138, 89, 89, 423, 176, 81, 7674, 6, 161, 27]","[0, 0, 0, 0, 0, 491, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1703, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 928, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 353, 0, 0, 27, 0, 268, 0, 268, 0, 272, 0, 0]"
25552,[],[0]
27004,"[29, 552, 69, 1556, 996, 1265, 34, 98, 101, 0, 49, 25, 25, 49, 0, 49, 11, 13, 5, 66, 71, 0, 60, 59, 72, 0, 76, 13, 12, 12, 1, 0, 3, 5, 59, 59, 1, 3, 61, 0, 4, 0, 61, 4, 4, 0, 380, 382, 0, 382, 0, 380, 4, 2, 23, 2236, 1, 14, 54, 29, 6, 35, 1, 2, 43, 37, 32, 166, 83, 433, 12, 23, 276, 85, 11, 1, 0, 15, 11, 1, 1, 2, 58, 49, 1, 73, 747, 246, 20, 48, 3, 27, 0, 253, 70, 16, 12, 11, 0, 15, 11, 16]","[2255, 0, 0, 0, 2259, 0, 0, 0, 0, 0, 338, 0, 0, 93, 99, 115, 20, 63, 0, 61, 36, 0, 0, 36, 0, 0, 3, 19, 19, 6, 1, 1, 1, 1, 1, 0, 0, 6, 24, 80, 80, 286, 0]"
25565,"[22, 0, 2600, 2709, 539, 0, 46, 2676, 333, 0, 564, 215, 188, 322, 18, 18, 79, 18, 470, 166, 8, 40, 59, 247, 265, 81, 132, 128, 33, 14, 35, 275, 42, 17, 37, 50, 12]",[]
25601,"[346, 0, 2688, 211, 264, 264, 258, 5874, 0, 0, 0]","[3005, 0]"
25588,"[1533, 303, 0, 303, 303, 334, 0, 0, 100, 0, 17, 0, 0, 157, 6564, 157, 18, 76, 106, 1637, 4, 0, 6, 1636, 1626, 398, 2291, 3, 3]","[32, 0, 39, 18, 0]"
25639,[],[]
25661,"[776, 10710]","[0, 0]"
25688,"[288, 66, 68, 68, 68, 78, 4, 4, 2, 9]",[]
25714,"[0, 6228, 0, 0]",[]
27438,[],"[0, 0, 0, 0, 0]"
25731,"[6, 120, 0, 0, 3, 3, 134, 328, 254, 2, 2, 0, 24, 0, 7, 7, 4, 4, 2, 2, 9, 2, 9, 1, 1]","[491, 301, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 149, 170, 0, 8, 1, 1, 0, 0, 0]"
25995,[],"[0, 0, 0, 0, 0, 0]"
25909,"[1444, 2821, 0, 0, 3121, 46, 201, 183, 16, 12, 14, 2, 18, 69, 0, 2, 646]","[0, 168, 172, 0, 159]"
25984,"[14836, 1524]",[]
26054,[0],"[0, 1, 0, 5629, 33, 978, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
26052,"[1444, 2821, 0, 0, 3121, 46, 201, 183, 16, 12, 14, 2, 18, 69, 23, 12, 0, 15, 16, 11, 16, 12, 3, 16, 12, 16, 12, 1, 16, 12, 16, 12, 18, 2]","[0, 168, 172, 0, 159]"
26661,"[0, 0, 10]","[815, 668, 0, 15617, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 2, 0, 83, 0, 3, 1, 0, 3, 0, 0, 1, 0, 0, 3, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0]"
26056,"[824, 435, 154, 120, 127, 35, 209]",[1452]
26060,"[0, 0, 0]",[]
26083,"[3, 0, 5, 0, 3, 0, 67, 64, 65, 64, 71, 10, 0, 8, 108, 108, 69, 62]","[1232, 1847, 4581]"
26090,"[103, 11, 13, 10, 3, 7, 55, 0, 82, 13, 18]","[174, 46, 67, 111, 108, 124, 0, 335]"
26173,"[6214, 0]",[]
26166,"[0, 0, 2125, 2647, 0, 122, 0, 0, 304, 0, 220, 3403, 0, 1604, 0, 478, 0, 0, 0]",[]
26406,"[0, 561, 0]","[3, 0, 0, 60, 0]"
26198,[],[0]
26240,"[47, 0, 5, 86, 2054, 3, 3, 2174, 6, 8]","[2054, 6262, 5165, 160, 133, 156, 103, 198, 137, 210, 188, 112, 115, 117, 114, 140, 153, 582, 668, 0, 666, 695, 341, 261]"
26272,"[34, 0, 0, 0, 43, 0, 0, 2, 2, 0, 2, 0, 3, 9, 2899, 0, 0, 1, 2, 0, 557, 554, 4, 4, 5, 1, 2, 2, 1, 87, 4057, 4106, 1, 2, 9, 12, 8, 0, 0, 0, 2, 2]",[]
26281,"[415, 0, 3, 0, 101, 189, 1956, 154, 0, 63, 150, 148, 132, 131, 0, 33, 35, 18, 8, 2, 0, 7, 256, 79, 16, 7, 8, 33, 4, 0, 4, 10, 0, 2, 6, 146, 283, 0, 151, 8, 2, 4, 4, 8, 45, 0, 4]","[0, 0]"
26295,"[301, 0, 0, 0, 8484, 0, 55]",[]
27131,[],"[0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
26331,"[6214, 84, 0]",[]
