id,parseerror_distances,not_parseerror_distances
EZQ2fsrsYumyoQuZC,[],"[0, 2, 32, 48, 27, 27]"
DK9MCxfBju2bCJLod,[2],"[65, 9, 11]"
pbKkNuBKF5ASnzyNB,"[18, 13, 12, 4, 10, 4, 48, 4, 2, 12, 2, 11, 12, 7, 2, 23, 3, 3, 2, 15, 20, 1, 11, 25]","[10, 3, 14, 18, 25, 7, 36, 29, 7, 9, 11, 2, 5, 5, 6, 6, 7, 7, 21, 10, 0, 7, 29, 0, 14, 0, 21, 23, 27, 27, 14, 15, 1, 27, 6, 4, 65, 14, 23, 5, 7, 7, 16, 25, 40, 27, 7, 2, 6, 41, 1, 14, 7, 26, 4, 14, 14, 9, 1, 7, 74, 11, 28, 7, 27, 0, 0, 36, 17, 59, 9, 47, 2, 15, 11, 64, 71, 6, 7]"
3cE2weNqJTa3fkcBt,[],"[33, 7, 19, 24, 38]"
cmjWAQDHkou5E4Qqr,"[21, 1, 1, 1]","[4, 11, 78, 25, 45, 15, 46, 46, 21, 9, 37, 1, 28, 5, 30, 63, 9, 62, 59, 29, 8, 1, 129, 9, 24, 7, 5, 7, 72, 12, 19, 19, 3, 4, 138, 31, 19, 11, 6, 7, 71, 118, 20, 8, 10, 66, 7, 26, 5, 24, 25, 5, 57]"
bbYs9DnfiZh7hc5rS,"[2, 1, 1, 61, 2, 2, 2, 2, 1, 1, 1]","[17, 22, 0, 32, 33, 150, 31, 90, 32, 19, 74, 106, 49, 22, 46, 13, 51, 6, 23, 1, 17, 12, 88, 9, 11, 92, 9, 48, 2, 50, 33, 9, 11, 47, 58, 1, 59, 9, 27, 28, 5, 0, 42, 61, 0, 11, 71, 1, 1]"
vS5tsgbxYQFfKEv5Q,[],"[4, 3, 61, 19, 16]"
NbfH2xJNJpF5aS3aH,[],"[640, 20]"
CF2m9X9tJ7NARGMjY,"[0, 0, 71, 1, 1]","[3, 9, 1, 4]"
bD4isGNeL377KoTW3,[],"[16, 5]"
hvrp9XFhMKqQrTtJc,"[1, 32, 12, 4, 72, 10, 2, 6, 66, 1, 9]","[15, 18, 9, 7, 39, 74, 82, 76, 87, 84, 19, 105, 59, 4, 24, 114, 11, 9, 28, 1, 8, 108, 121, 4]"
se9KQR4bBoTZh3kAn,"[4, 2, 2, 2]","[28, 19, 24, 72, 80, 40, 39, 2, 4, 4, 39, 2, 2, 2, 0, 0, 58, 35, 4, 36, 33, 1, 1, 2, 35, 2, 4, 2, 26, 2, 2, 2, 2, 2, 2, 26, 40, 2, 81, 43, 0, 0, 0, 0, 44, 11, 4, 5, 90, 33, 27, 0, 0, 0, 0, 0, 0, 0, 31, 64, 106, 60, 102, 7, 36, 7, 39, 8, 7, 7, 31, 31, 0, 0, 0, 0, 0, 0, 56, 7, 8, 8, 28, 17, 17, 2, 83, 38, 26, 2, 34, 16, 4, 23, 33, 2, 35, 53, 9, 4, 23, 7, 70, 7, 12, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 12, 2, 7, 1, 7, 71, 1, 63, 24, 24, 59, 4, 50, 1, 7, 24, 31, 13, 14, 33, 20, 7, 71, 7, 81, 6, 8, 18, 19, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
pKv8LKidE6gpuTsFP,"[1, 1]","[17, 39, 2, 22, 0, 0, 15, 36]"
vSCEZMDEqtd2As4ri,[2],"[13, 16, 13, 1, 43, 44, 21, 60, 1, 4, 21, 2, 0, 24, 0, 13, 16, 15, 36, 0, 59, 0, 31, 13, 69, 65, 3, 28, 27, 1, 25, 168, 79, 12, 7, 37, 7, 65, 7, 57, 4, 19, 60, 7, 7, 7, 53, 7, 61]"
JHLrP5kHozfi5gn94,"[23, 2, 2, 22, 0, 21, 2, 0]","[15, 8, 1, 29, 18, 23, 22, 2, 0, 7, 7, 0, 13, 13, 0, 14, 1, 12, 10, 24, 2, 2, 2, 13, 21, 4, 4, 25, 38, 34, 25, 13, 32, 6, 0, 52, 26, 23, 24, 27, 51, 0, 1, 6, 0, 8, 6, 0, 6, 2, 8, 30, 2, 8, 21, 0, 0, 1, 2, 2, 32, 55, 83, 0, 18, 34, 22, 14, 39, 46, 39, 20, 0, 46, 14, 60, 5, 55, 9, 52, 7, 43, 82, 25, 34, 10, 32, 13, 4, 0, 76, 76, 56, 21, 109, 58, 0, 8, 6, 6, 74, 11, 24, 26, 35, 21, 6, 48, 27, 27, 27, 15, 15, 28, 0, 66, 26, 26, 8, 11, 15, 11, 37, 26, 38, 26, 22, 4, 9, 11, 24, 21, 8, 13, 8, 31, 26, 28]"
uKt389SLiE8NtG66K,[],"[27, 7, 10, 17, 1, 35, 15, 103, 9, 72, 61, 16, 7, 6, 15, 90, 21, 0]"
GtvxhPD9Qrcr2jecT,"[1, 1, 11, 3, 7, 12, 10, 16, 13, 14, 10, 22, 3, 10, 2, 15, 3, 9, 31, 22, 2, 1, 12, 8, 3, 20, 1, 3]","[10, 11, 11, 17, 10, 12, 12, 13, 13, 0, 13, 10, 1, 1, 3, 1, 26, 38, 1, 1, 12, 28, 26, 39, 7, 15, 26, 30, 33, 39, 40, 31, 44, 7, 2, 5, 7, 39, 0]"
S3xSujqdYLGizBLra,"[18, 13, 12, 4, 10, 4, 48, 4, 2, 12, 2, 11, 12, 7, 2, 23, 3, 3, 2, 15, 20, 1, 11, 25, 12]","[10, 3, 14, 18, 25, 7, 36, 29, 7, 9, 11, 2, 5, 5, 6, 6, 7, 7, 21, 10, 0, 7, 29, 0, 14, 0, 21, 23, 27, 27, 14, 15, 1, 27, 6, 4, 65, 14, 23, 5, 7, 7, 16, 25, 40, 27, 7, 2, 6, 41, 1, 14, 7, 26, 4, 14, 14, 9, 1, 7, 74, 11, 28, 7, 27, 0, 0, 36, 17, 59, 9, 47, 2, 15, 11, 64, 71, 6, 7, 11]"
W9QqLQWM8WBhPk9Pk,[],[0]
EsFt3yWwPtnzyHPJS,"[1, 66]","[24, 33, 35, 17, 0, 41, 0, 69, 9, 9, 62, 9, 85, 44, 73, 62, 9, 9, 0, 1, 111, 4, 77, 77, 29, 35, 25, 5]"
28uNcS585sPtt59ZM,[],"[18, 21, 39, 38, 23, 7, 36, 1, 97, 15, 58, 64, 10, 32, 1]"
LqApqcd8cnyqT6sEZ,[],[]
MZPj3333pNqCC7uPn,[],"[39, 8, 10]"
6YmxWkc8PtXEqdafi,[],[1]
kb8KrpANCxg9XXcLs,"[2, 0, 24, 1, 1, 1, 19, 3, 3, 0, 14, 1, 4, 5, 4, 13, 8, 13]","[21, 17, 0, 1, 1, 8, 0, 0, 25, 31, 7, 12, 0, 1, 1, 1, 21, 34, 24, 33, 19, 14, 7, 9, 4, 7, 9, 8, 40, 40, 58, 0, 58, 0, 1, 1, 7, 0, 0, 1, 1, 1, 6, 1, 1, 40, 9, 11, 7, 1, 1, 0, 0, 28, 3, 0, 20, 21, 1, 54, 14, 7, 17, 14, 13, 0, 4, 3, 7]"
porWs2KaACnYe7hRm,[],[]
6JsAp43W6iNbahrCL,[],"[9, 8, 15, 11]"
YPi6u4nSwTD4eDMbs,[],[]
XfwCReNqjWPNQtMeY,"[0, 3]","[6, 26, 9, 17, 22, 22, 13, 13, 18, 16, 10, 18, 25, 32, 8]"
SihpQwt6qQiWToqvC,[],"[7, 28, 17, 31, 65, 14, 3, 7, 14, 11, 19, 38, 75, 1, 23, 7, 48, 8, 2, 26, 7, 7, 26, 91, 115, 7, 25, 4, 66, 3, 3, 7, 6, 13, 122, 12, 63, 41]"
ySHGhXpZbSEjGvLZW,"[26, 19, 2, 9]","[2, 1, 0, 0, 0, 0, 3, 61, 0, 7, 6, 6, 64, 62, 0, 62, 62, 52, 69, 6, 48, 6, 52, 0, 7, 83, 0, 9, 17, 33, 24, 7, 14, 10, 17, 6, 6, 9, 7, 0, 0, 0, 0, 63, 29, 7]"
jDwxr9arywDy6Lbb3,[],"[6, 28, 17, 22, 20, 29, 19, 109, 26, 28, 23, 7, 8, 20, 1, 120]"
wSrkMsnzEshXcRMtJ,[],"[24, 7, 19, 12, 9]"
RbZARvje9bfDzYdHu,[],[]
RxvzyxG2cEFWjpv3r,[],[7]
ZJ4LnQF2pS3wLYE6B,"[2, 2, 4]","[25, 5, 10, 21, 17, 7, 29, 20, 24, 63, 24, 13, 7, 49, 7, 7, 7, 34, 29, 84, 8, 75, 68, 71, 31, 0, 0, 36, 34, 57, 43, 46, 8, 43, 64, 6, 6, 14, 4, 16]"
PNoKqxGPXat6dfi9A,[],[]
fTiqPWvNCo65MRir8,[],"[0, 2, 7, 32, 7, 21, 7, 10, 23]"
evHa8WxafTR2NEHRW,[0],"[29, 7, 7, 17, 22, 22, 23, 24, 20, 26, 20, 11, 5, 3, 42, 26, 0, 0, 0, 20, 23, 0, 23]"
QjMkJsFLqsmaZti3N,[1],[]
uCW337MR5oTop4CN6,[],"[17, 6, 31, 15, 17]"
